#Table1
objID,ra,dec,r,rErr,extinction_r,z,zErr
1237652946914508863,358.702472018134,-10.42950068836,15.85995,0.01348886,0.08326434,0.07768109,1.948231E-05
1237652629097939090,358.534808564486,-10.5799695126692,16.68519,0.02555564,0.09024592,0.07528375,1.480141E-05
1237652946914443295,358.57081078917,-10.3940219914388,17.46562,0.02241065,0.102144,0.07671607,2.13928E-05
1237652946914377779,358.397918430547,-10.468746665036,15.85807,0.02786041,0.08880375,0.07580104,1.534848E-05
1237652900210606224,358.485742701915,-10.2528955909437,16.77194,0.06538089,0.102915,0.07189314,8.438212E-06
1237652900210606269,358.523685810271,-10.3085078908229,15.77187,0.01908006,0.105058,0.07330468,1.514867E-05
1237652946914312342,358.373004492671,-10.5287410782524,16.2168,0.021432,0.09120384,0.07393386,1.475791E-05
1237652946914443297,358.542005478584,-10.4070340432376,17.29429,0.03505223,0.1015459,0.08033162,2.383486E-05
1237652946914443442,358.543371166612,-10.4975676522634,16.08589,0.02177114,0.08725529,0.07476557,1.744263E-05
1237652629098070214,358.881522621009,-10.7285025730502,15.85785,0.01840027,0.07926164,0.07706593,1.252451E-05
1237652900210737185,358.811000595367,-10.3613584823152,16.70877,0.01687754,0.07772101,0.07903694,2.153148E-05
1237652946914443290,358.572043668223,-10.4330312957522,17.53748,0.02741621,0.09541316,0.07177377,3.242541E-05
1237652900210606217,358.483314663189,-10.2704070029242,16.32691,0.02047341,0.1035107,0.07433169,1.629523E-05
1237652900210606246,358.506020029098,-10.2132424248587,16.15901,0.01986699,0.1004561,0.07903229,1.980021E-05
1237652900210671729,358.659007749412,-10.3187755411253,16.00035,0.02990798,0.08908638,0.07506012,2.18245E-05
1237652946914443477,358.557359259727,-10.4439839913261,17.10153,0.02356707,0.09350917,0.09341709,9.109891E-06
1237652900210606337,358.559760779669,-10.3577930078195,16.13797,0.01911242,0.1059581,0.08228753,1.096638E-05
1237652900210737238,358.753636364157,-10.1703099458572,15.71305,0.01616437,0.07954722,0.07819016,1.972831E-05
1237652629097873522,358.390957794609,-10.5860308236829,15.46859,0.02160227,0.09582244,0.07285225,1.626786E-05
1237652900210606253,358.508138560048,-10.2763917896661,17.07425,0.01964984,0.1036334,0.07408714,2.372857E-05
1237652946914443511,358.581300250807,-10.5500938385553,16.13168,0.02253541,0.08192487,0.07955689,1.216259E-05
1237652946914508872,358.716156610266,-10.4687782605944,17.33142,0.01460446,0.08274926,0.08057588,2.899116E-05
1237652900210606353,358.576029560087,-10.2304196469232,16.57155,0.02142472,0.09541277,0.07754172,1.53953E-05
1237652900210671773,358.690955270219,-10.2459622714726,17.05415,0.0302008,0.08562397,0.07790835,7.201845E-06
1237652946914443541,358.628436287257,-10.5277794736614,16.46165,0.0217753,0.08001507,0.07160344,1.806946E-05
1237652946914443526,358.614133586401,-10.3997821726238,16.83201,0.02514873,0.09519024,0.09330384,1.758184E-05
1237652900210671765,358.684093511908,-10.2821967745147,16.05377,0.03135565,0.08686397,0.07730433,9.195102E-06
1237652946914443459,358.555143939498,-10.3863707216905,16.38613,0.02634278,0.1035036,0.07862125,2.204155E-05
1237652900210606155,358.561257748987,-10.1658170439003,15.71283,0.0930309,0.09178746,0.06528921,1.206098E-05
1237652900210540663,358.406408676141,-10.2583410866884,16.405,0.01575711,0.09931884,0.07714468,1.697585E-05
